Counting, fetching started
0, spack:libflame, c
1, spack:openresty, c
2, spack:openssl, c
3, spack:aws-sdk-cpp, c
4, spack:genometools, c
5, spack:openresty, c
6, spack:xnnpack, c
7, spack:proj, c
8, spack:amdblis, c
9, spack:pcre, c
10, spack:libflame, c
11, spack:itk, c
12, spack:xnnpack, c
13, spack:simde, c
14, spack:yara, c
15, spack:simde, c
16, spack:amdlibflame, c
17, spack:amdlibflame, c
18, spack:yasm, c
19, spack:cmocka, c
20, spack:libflame, c
21, spack:netlib-xblas, c
22, spack:libflame, c
23, spack:hypre, c
24, spack:amdlibflame, c
25, spack:simde, c
26, spack:gmap-gsnap, c
27, spack:duckdb, c
28, spack:libflame, c
29, spack:aws-sdk-cpp, c
30, spack:amdlibflame, c
31, spack:speex, c
32, spack:xnnpack, c
33, spack:eccodes, c
34, spack:bam-readcount, c
35, spack:amdlibflame, c
36, spack:netcdf-c, c
37, spack:libquo, c
38, spack:openssl, c
39, spack:libflame, c
40, spack:amdlibflame, c
41, spack:py-pandas, c
42, spack:genometools, c
43, spack:libflame, c
44, spack:amdlibflame, c
45, spack:xnnpack, c
46, spack:xnnpack, c
47, spack:suite-sparse, c
48, spack:libflame, c
49, spack:bam-readcount, c
50, spack:mbedtls, c
51, spack:itk, c
52, spack:openfast, c
53, spack:libflame, c
54, spack:libflame, c
55, spack:mstk, c
56, spack:eccodes, c
57, spack:vtk, c
58, spack:samtools, c
59, spack:amdlibflame, c
60, spack:eccodes, c
61, spack:librdkafka, c
62, spack:xnnpack, c
63, spack:mstk, c
64, spack:vtk, c
65, spack:xnnpack, c
66, spack:amdlibflame, c
67, spack:libvterm, c
68, spack:xnnpack, c
69, spack:libflame, c
70, spack:xnnpack, c
71, spack:xnnpack, c
72, spack:adios2, c
73, spack:hypre, c
74, spack:lua-luajit, c
75, spack:nauty, c
76, spack:openresty, c
77, spack:libflame, c
78, spack:openssl, c
79, spack:itk, c
80, spack:nasm, c
81, spack:xnnpack, c
82, spack:libflame, c
83, spack:mstk, c
84, spack:amdlibflame, c
85, spack:cmdstan, c
86, spack:amdblis, c
87, spack:oniguruma, c
88, spack:vtk, c
89, spack:amdlibflame, c
90, spack:hypre, c
91, spack:suite-sparse, c
92, spack:py-scipy, c
93, spack:netcdf-c, c
94, spack:xnnpack, c
95, spack:variorum, c
96, spack:amdlibflame, c
97, spack:amdlibflame, c
98, spack:eccodes, c
99, spack:libflame, c
100, spack:httpd, c
101, spack:amdlibflame, c
102, spack:bind9, c
103, spack:nanomsg, c
104, spack:py-pysam, c
105, spack:libflame, c
106, spack:libflame, c
107, spack:amdblis, c
108, spack:lastz, c
109, spack:amdblis, c
110, spack:vtk, c
111, spack:vtk, c
112, spack:libflame, c
113, spack:suite-sparse, c
114, spack:amdlibflame, c
115, spack:amdlibflame, c
116, spack:vtk, c
117, spack:sundials, c
118, spack:sicm, c
119, spack:xnnpack, c
120, spack:less, c
121, spack:amdlibflame, c
122, spack:libwebp, c
123, spack:quo-vadis, c
124, spack:itk, c
125, spack:py-scipy, c
126, spack:libxml2, c
127, spack:libflame, c
128, spack:globalarrays, c
129, spack:vtk, c
130, spack:amdlibflame, c
131, spack:openexr, c
132, spack:amdlibflame, c
133, spack:globalarrays, c
134, spack:jansson, c
135, spack:libflame, c
136, spack:libflame, c
137, spack:openssl, c
138, spack:xnnpack, c
139, spack:genometools, c
140, spack:libflame, c
141, spack:eccodes, c
142, spack:libflame, c
143, spack:libflame, c
144, spack:libflame, c
145, spack:gmap-gsnap, c
146, spack:amdlibflame, c
147, spack:libflame, c
148, spack:netlib-xblas, c
149, spack:xnnpack, c
150, spack:genometools, c
151, spack:libflame, c
152, spack:pcre2, c
153, spack:amdblis, c
154, spack:libflame, c
155, spack:libflame, c
156, spack:hypre, c
157, spack:vtk, c
158, spack:mstk, c
159, spack:nanomsg, c
160, spack:libquo, c
161, spack:itk, c
162, spack:octopus, c
163, spack:redis, c
164, spack:su2, c
165, spack:seal, c
166, spack:metis, c
167, spack:xnnpack, c
168, spack:samtools, c
169, spack:aws-sdk-cpp, c
170, spack:libflame, c
171, spack:libflame, c
172, spack:genometools, c
173, spack:xnnpack, c
174, spack:libflame, c
175, spack:staden-io-lib, c
176, spack:openssl, c
177, spack:suite-sparse, c
178, spack:xnnpack, c
179, spack:xnnpack, c
180, spack:xnnpack, c
181, spack:libflame, c
182, spack:libflame, c
183, spack:xnnpack, c
184, spack:openssl, c
185, spack:libflame, c
186, spack:libflame, c
187, spack:itk, c
188, spack:oniguruma, c
189, spack:bam-readcount, c
190, spack:libflame, c
191, spack:libflame, c
192, spack:gtkorvo-enet, c
193, spack:amdlibflame, c
194, spack:itk, c
195, spack:amdlibflame, c
196, spack:libflame, c
197, spack:amdlibflame, c
198, spack:librdkafka, c
199, spack:amdlibflame, c
200, spack:suite-sparse, c
201, spack:amdlibflame, c
202, spack:libzip, c
203, spack:py-pysam, c
204, spack:vtk, c
205, spack:amdlibflame, c
206, spack:amdblis, c
207, spack:spdk, c
208, spack:bind9, c
209, spack:netlib-xblas, c
210, spack:hypre, c
211, spack:netlib-xblas, c
212, spack:libflame, c
213, spack:hypre, c
214, spack:nauty, c
215, spack:mbedtls, c
216, spack:xnnpack, c
217, spack:jemalloc, c
218, spack:hwloc, c
219, spack:genometools, c
220, spack:libxml2, c
221, spack:xnnpack, c
222, spack:libflame, c
223, spack:isl, c
224, spack:redis, c
225, spack:vtk, c
226, spack:blis, c
227, spack:amdlibflame, c
228, spack:yasm, c
229, spack:py-scipy, c
230, spack:blis, c
231, spack:amdlibflame, c
232, spack:amdlibflame, c
233, spack:netlib-xblas, c
234, spack:libflame, c
235, spack:sio, c
236, spack:xnnpack, c
237, spack:flatcc, c
238, spack:libflame, c
239, spack:netlib-xblas, c
240, spack:genometools, c
241, spack:vtk, c
242, spack:spdk, c
243, spack:libflame, c
244, spack:libxsmm, c
245, spack:amdlibflame, c
246, spack:libunwind, c
247, spack:flatcc, c
248, spack:libflame, c
249, spack:libflame, c
250, spack:xnnpack, c
251, spack:libflame, c
252, spack:ucx, c
253, spack:amdlibflame, c
254, spack:amdlibflame, c
255, spack:amdlibflame, c
256, spack:libflame, c
257, spack:hsakmt, c
258, spack:hsakmt, c
259, spack:py-scipy, c
260, spack:xdotool, c
261, spack:suite-sparse, c
262, spack:gmap-gsnap, c
263, spack:amdlibflame, c
264, spack:lighttpd, c
265, spack:libflame, c
266, spack:aws-sdk-cpp, c
267, spack:hypre, c
268, spack:mstk, c
269, spack:genometools, c
270, spack:libflame, c
271, spack:spglib, c
272, spack:vtk, c
273, spack:su2, c
274, spack:suite-sparse, c
